,text,date,name,profile_link,helpful_votes,reviews_count,hearts,idea_lists,rank
0,"I’ve seen a lot of bad reviews for this phone based on issues with the seller. Granted, some of those reviews say it took a few weeks for the problems to appear so I’ll edit this if that happens, but wow was I happy with what I got. Not only did it come with a charger (there’s some debate on that in other reviews), but it even had a clear bumper case. That was neither expected nor necessary but I appreciated it (I bought a Unicorn Beetle case which I have used and loved before on other phones). There wasn’t a scratch on this phone and it started working right away for me. The battery seems to be holding up fine. All in all I’d say this seems like a steal. If it self destructs on me in the next few weeks I’ll update this.UPDATE: It's been a few months and a trip overseas since I wrote that initial review, and it remains a solid decision I'm very happy with."," November 29, 2018",Buyer of Things,https://www.amazon.com/gp/profile/amzn1.account.AGGT5JVEBHJPWUG66AMFMALG6DUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"1,076",33,0,0,58951
1,"The iPhone 7 I purchased was ""certified refurbished"" and labeled as ""new"" quality but doesn't work. The phone looks great, but when I first turned it on it was in a restart loop. This was a bad sign to begin with, but I gave it the benefit of the doubt and connected it to my computer. When I finally got it to restore to factory settings, the screen started glitching to the point where there was nothing to stop it, and if it did get to the startup screen, it was non-responsive.The shipping took a few days, but at least it came when scheduled.I have been unable to make contact with the company, but I will update my review if they are able to fix the issue and if I receive a working phone.Update: Ended up returning the phone and purchasing elsewhere. The company was cooperative with the return. Of course this could have been a one-off issue"," October 8, 2018",Alyssa Johnson,https://www.amazon.com/gp/profile/amzn1.account.AFEQLUMHLIC2WDH6PSTFCB4T6BQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,716,12,0,0,172112
2,"I am very disappointed!!! I've ordered and had success with a previous refurbished phone.  However, this iphone 7 with 128 GB was stated as unlocked, which it was.  It was stated that it was Verizon compatible.  It clearly was not.  The Verizon techs stated that the system on this phone had to be from another country whose systems are totally incompatible with US carrier systems.  We spent hours at the Verizon store just to have to purchase a brand new phone from them.  I watched.  They tried everything to make my refurbished work.  Very frustrated and never doing this refurbished phone thing again."," April 27, 2018",Pam Elkins,https://www.amazon.com/gp/profile/amzn1.account.AE4JVDATNQEF4OMOTKVOWPKKYATQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,523,11,0,0,295139
3,"Returning. For one, it was not an unlocked phone. I've had it for a month and the screen has started going black every few minutes, and sometimes it freaks out and tells me I have no way to connect to wifi or cell coverage (despite being somewhere with wifi and usually 4G). I'm returning before the problems escalate.Note- it doesn't come with a charger or with headphones."," April 7, 2018",Rachel F,https://www.amazon.com/gp/profile/amzn1.account.AGTX6XPN2VN36HN64CBDVLPASDKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,487,162,0,0,17705
4,"This arrived 2 DAYS after I ordered it. It came much earlier than expected which is amazing! I see many reviews that say it isn't compatible with different networks but it worked perfectly when I activated it with Sprint. And despite its price it works great! It's not slow and the battery doesn't drain too quickly or anything like that. I, honestly, highly recommend this product!! 5 Stars all the way!"," April 26, 2018",Emy,https://www.amazon.com/gp/profile/amzn1.account.AHB73UXMGQ5CXX7HZI3RUBUCI7YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,235,2,0,0,2479871
5,"First iPhone 7 order  arrived on time, had no scratches or any cosmetic damage, IOS not up to date and device screen started pixeling, really pretty obvious, even though box indicated it was ""Refurbished"" and ""Rigourously Tested"", ""Updated with New Software"".  After much discussion with hard to understand Amazon support reps, I negotiated an immediate gift credit, since I paid via cash on a debit card, and thus ordered a replacement the same day, while the first was sent back to initial supplier (DealFisher),  (Otherwise Amazon returns menu note suggested it would have taken 7 days to get credit).Second iPhone arrived a few days later from BUYSPRY, sooner than expected. It had a few very small nicks on the metal case, and nearly invisible hairline scratches on screen corner, and was not up to date on IOS, but did update. Seems to perform well so far (2 days in use) as expected after activating. Battery showed 85% capacity on IOS Beta Battery Health, but seems to hold a charge all day. Will give it a try and see what happens, have 30 days to return and 90 days warranty. Also, purchased 2 year square trade warranty."," August 28, 2018",Eclectic1,https://www.amazon.com/gp/profile/amzn1.account.AGFHNKXMUMAJ6L4AFSC5SFQSENZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,95,6,0,0,2686057
6,"It can sometimes be risky purchasing refurbished phones, but after doing my research I come to this product page and ordered the Rose Gold - iPhone 7 128GB from MyWit. Also trust and loved that this purchased is backed by the Amazon renewed program, so if there were any issues, I will be supported for up to 90-days after purchase.As expected, the phone arrived in non-Apple packaging with no headphones. What I was not expecting was that it also came with the Apple charging brick and cable. The phone looked GREAT, with no scratches (I would have been OK with minor scratches since I am purchasing something refurbished) and no cracks/smooth front screen. The only little, temporary, issue I saw was a little dust in the speakers/mic holes at the bottom of phone. It was a simple fix, I simply clean the area with a brush and the phone looked exactly like new! Tested phone calls on loudspeaker and the speakers work fine!I have used the phone for a while now and it continues to work beautifully. This iPhone 7 came with iOS 12 running out of the box, which was fine by me. Even checked the battery health with the new iOS and it was at 89% (very fair, actually expected something lower).Your experience (packaging, phone condition, etc) may not be exactly the same as mine since each phone is different, but this was definitely a great purchase for the price. Definitely be open-minded if you are interested in a refurbished phone and be OK if the phone does not arrive 100% in perfect condition.This is my personal review, I will update this review if anything else changes!"," December 19, 2018",Michelle L.,https://www.amazon.com/gp/profile/amzn1.account.AGG7RGHICVVMM76FQM3SBW4UJS4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,117,6,0,0,3546581
7,Awful. Paid $510 to get a defected camera that does not work. Would not recommend buying from this 3rd party seller. Every time I try to take a picture my phone freezes. Have been trying to reach out to the seller for awhile now and have been unable to contact them.," December 10, 2017",kirby breault,https://www.amazon.com/gp/profile/amzn1.account.AEEECECJRFMREGKNZYWKVEMYINWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,215,1,0,0,4061429
8,"I bought this phone amazon refurbished and paid a premium for it since I figured it would be a better quality phone that would perform like new. Boy was I wrong, anything you buy that says refurbished means it was once broken and will most likely still be broken when you receive it like in my case. They tell you they fully inspect the phone for faulty hardware but they don’t at all, if they did they would realize that the earpiece was blown and now I can’t hear anybody clearly when on the phone or when I play a video it uses the earpiece as a speaker and sounds horrible, the proximity sensor also never worked and my screen doesn’t turn off when I make a call, I am constantly putting people on hold because my cheek presses the button every time. The battery came in at 84% capacity so right out the gate it needed a new battery because the speed of the phone is lowered by apple if you have a worn battery. All of these defects were present as soon as I received the phone and should of been tested for. Buyspry will sell you a junk phone that looks nice but is unusable as an actual phone. Amazon just turns its back on this practice and defaults any questions or repairs back to BuySpry instead of backing their 90 day refurbished electronics gaurantee. The phone has numerous glitches with the software as well, all around I feel duped to have bought this phone and paid extra for the “amazon refurbished” seal which does nothing for you. Don’t buy, go to apple directly for refurbished phones."," February 22, 2019",Aldo M.,https://www.amazon.com/gp/profile/amzn1.account.AGDFOC4RSBAPHEVO3UCSO6Y2RNIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,67,11,0,0,1693485
9,At first it was perfect no complaints. The battery life was slow and died really quickly but I knew it was an issue with iPhones in general. By the next week it would die even if I turned it off I could get tops maybe 2 hours of life with it and then all of a sudden I wouldn’t have service for an hour then 2 hours then totally. I went to t-mobile thinking it was my SIM  and they really took their time to look everything over. They took out the SIM and it still said searching- confirming it’s the phone. Since then I factory reset it to return it and it still searching with no SIM (it should say no SIM) and I found out it turns on and off even when off which is probably why the battery life was so awful. When I went to return it you get a free label but you have to pay for it $17. I did read the instructions inside say to contact the seller for a free label. I don’t understand why I have to wait another 2 days for a label but hopefully they even answer. I will provide an update if the return goes smoothly.," October 31, 2018",Kira,https://www.amazon.com/gp/profile/amzn1.account.AE6VSDMC45MH65RORDLZC7C6T3VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,84,15,0,0,1347320
10,"Bought the Rose Gold 128GB iPhone 7 for my Girlfriend from BuySPrY and I will say it turned out wonderfully! Screen protector already on the phone, her SIM card went in and worked immediately, everything was good! I decided to go with one of the higher priced options (about mid way) and looked into who sold it, research does pay off in this case."," October 17, 2018",Stefan Thompson,https://www.amazon.com/gp/profile/amzn1.account.AHQB5ACKI3BG5HQZUSZSFNZXRN3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,75,6,0,0,1439645
11,"In less than a month of receiving the phone, the side silence button/switch broke. I called customer service and besides the fact that the agent was very unfriendly and seemed confused as to why I would call about a defected product instead of going to get it fixed myself. She said I could return it for a refund. That would obviously leave me without a phone so I decided to wait and see if I could get it fixed at a shop for cheap (update: it's not a cheap fix). Now two months into having the phone, the phone randomly restarted overnight and became locked again. After calling my carrier, they (and a local phone store) said that the phone's contract must have expired overnight and the phone was turned off...so the phone wasn't actually fully unlocked. I keep trying to call customer service but even when I leave a message (as told to do so when the lines are busy), no one gets back to me. It's been a headache.UPDATE: I changed it up to three stars from one star. After one customer service agent saying they were simply too busy to talk on the phone and trying to explain what the problem was and how to fix it despite me telling them that I had already tried that and it didn't work, another customer service agent called me and told me they'd issue me a refund and then ship it back with a prepaid label after I was able to find a new phone. The phone did work with TMobile, as mentioned by other users, though the fact that the button broke less than a month after I received it was still frustrating. I do appreciate the last customer service agent's help."," September 5, 2018",Catholic W.,https://www.amazon.com/gp/profile/amzn1.account.AH7DW4SCYPKSC5U2QTN7WJ7R7EIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,81,3,0,0,2807919
12,"I recieved this phone the next day after ordering and it came today just as expected. Doesn't come in orginal box or with any of the adapters and headphones but it comes with a sim card slot tool and an off brand charger. You can get lightning adapters and other accesories cheap online anyway, I got mine for $10 and a glass screen protector and Popsocket to go with my new phone. It's unlocked, I have Straight Talk and got my service up and running with the phone activation kit and kept my old number and everything. Appearence wise it's in perfect condition, no scratches, dents or issues. Started up immediately with half battery life. Would reccomend this product if you want a $150 discount as opposed to buying new from Apple."," April 4, 2018",Ashley Nichols,https://www.amazon.com/gp/profile/amzn1.account.AHGPHHHZKK3HLJ35ALYZ4XH32NGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,188,1,0,0,3222225
13,This iPhone is not unlocked for Verizon as specified. I see there are numerous complaints by other customers having the same problem with the seller. There are two model numbers for iPhone 7s one that works with GSM and another that does not. This one is not supported by Verizon. We have spent hours on the phone with customer service at Verizon to get it to work and went into the store. We cannot use this phone and need to return it. This has been a huge waste of time. :(," February 10, 2019",b$,https://www.amazon.com/gp/profile/amzn1.account.AEUVMUKKGBLDOSV22TH5KSPFXTGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,65,23,0,0,1641584
14,"Received a defective device as you see 8n the pictures , the sim tray is broken.The device has alot of scratches. When turning the device it starts to getting very hot and hangs as hell. Requested paid return and full refund , they took too much time to refund me around 15 days , so my advice don't buy the device from this seller."," September 19, 2018",Ahmed E.,https://www.amazon.com/gp/profile/amzn1.account.AGQHCTA2F6DSBYSZQJLGXIV2QQSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,72,9,0,0,1612257
